idMao,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quemRetruco,quemValeQuatro,quemNegouTruco,quemGanhouTruco,quemEnvidoEnvido,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,qualidadeMaoRobo,qualidadeMaoHumano
0,1,24,16,8,0,0,0,0,11,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,4,2,2,0,0,0,0,11,0,0,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
0,1,4,3,3,0,0,0,0,3,0,0,6,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
0,1,40,16,7,0,0,0,0,4,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,1,52,24,2,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,1,16,7,6,0,0,0,0,2,0,0,11,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
0,1,8,7,3,0,0,0,0,12,0,0,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0
0,1,16,3,1,0,0,0,0,11,0,0,6,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
0,1,8,3,3,0,0,0,0,2,0,0,6,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0
0,1,16,7,6,0,0,0,0,5,0,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0
